code,name,descr
General,General,General
F1,F1.Management,F1.Management
F2,F2.Product Development,F2.Product Development
F3,F3.Sales,F3.Sales
F4,F4.Procurement & Production,F4.Procurement & Production
F5,F5.Distribution & Logistics,F5.Distribution & Logistics
F6,F6.Retail,F6.Retail
S1,S1.FICO,S1.FICO
S2,S2.Marketing,S2.Marketing
